Exercise/Jumping Jacks
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592923109,114,111,60,10,3,91,393
1592923110,247,251,252,9,1,90,235
1592923112,228,227,228,10,90,93,396
1592923113,202,201,202,10,26,97,450
1592923115,192,191,146,10,132,95,351
1592923116,181,179,90,8,3,6,285
1592923118,199,194,107,8,12,4,371
1592923119,189,173,88,12,99,97,214
1592923121,222,186,183,11,136,12,445
1592923122,239,242,238,8,176,4,469
1592923124,199,200,111,15,41,98,77
1592923125,205,202,105,9,172,4,421
1592923127,192,189,192,14,41,108,430
1592923128,186,181,184,7,92,92,190
1592923130,189,184,187,9,112,100,209
1592923131,183,160,87,10,6,97,293
1592923133,213,207,209,10,1,96,301
1592923134,215,209,213,9,1,93,204
1592923136,196,192,195,10,5,92,236
1592923137,188,184,189,11,129,103,286
1592923139,215,206,148,14,101,97,170
1592923140,172,164,129,7,148,95,170
1592923142,174,159,50,10,68,106,227
1592923143,96,76,54,12,135,8,219
1592923145,66,67,59,11,130,18,249
1592923146,184,179,143,12,9,98,399
1592923148,204,202,203,10,8,98,383
1592923149,203,199,199,10,7,97,282
1592923151,206,201,203,12,49,110,358
1592923152,195,193,194,11,149,12,322
1592923154,191,188,190,15,140,13,344
1592923155,201,198,199,13,130,9,289
1592923157,213,209,203,11,141,2,170
1592923158,194,191,193,8,156,92,229
1592923160,213,213,212,10,9,99,429
1592923161,169,195,169,10,7,93,395
1592923163,198,198,199,10,90,95,415
1592923164,139,140,103,8,93,96,326
1592923166,204,201,178,12,90,93,478
1592923167,204,199,201,13,155,1,183
1592923169,231,227,227,9,50,16,292
1592923170,158,152,148,11,138,7,534
1592923172,172,139,125,12,92,96,300
1592923173,192,191,192,10,123,12,330
1592923175,201,201,199,11,140,2,569
1592923176,188,186,186,9,125,93,306
1592923178,99,97,95,10,7,98,222
1592923179,123,153,153,9,11,99,76
1592923181,113,110,111,10,17,115,26
1592923182,83,63,60,9,23,110,28
