Using computer(watching video and occasionally using phone)
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592921754,130,132,4,9,108,91,47
1592921755,92,89,2,10,107,90,44
1592921757,72,70,3,9,104,1,25
1592921758,64,72,55,10,90,3,26
1592921760,78,73,34,10,103,90,46
1592921761,81,76,18,9,105,92,36
1592921763,79,68,21,9,106,92,38
1592921764,79,65,23,9,101,93,29
1592921766,36,23,21,9,1,94,23
1592921767,24,23,21,9,90,94,25
1592921769,59,66,25,9,101,92,41
1592921770,44,23,23,10,93,94,24
1592921772,26,33,24,9,96,92,33
1592921773,27,29,1,10,97,96,34
1592921775,28,33,1,10,99,97,37
1592921776,29,36,34,9,99,96,32
1592921778,28,36,54,9,98,95,32
1592921779,31,55,84,9,100,99,38
1592921781,43,64,74,9,102,99,37
1592921782,78,74,75,10,101,100,33
1592921784,88,85,87,10,105,90,52
1592921785,87,84,86,9,108,3,55
1592921787,89,85,66,9,108,2,58
1592921788,91,87,87,9,108,90,63
1592921790,91,86,89,9,107,90,64
1592921791,93,88,71,10,106,90,58
1592921793,94,89,52,10,107,90,49
1592921794,92,87,91,10,107,92,49
1592921796,93,89,91,10,107,92,48
1592921797,42,43,92,10,104,93,51
1592921799,22,21,80,9,104,94,46
1592921800,37,23,23,10,90,93,29
1592921802,28,24,25,9,93,94,33
1592921803,91,82,90,9,100,95,52
1592921805,100,100,102,9,107,95,47
1592921806,96,99,99,9,103,94,45
1592921808,68,79,69,9,96,98,29
1592921809,59,48,38,10,5,100,26
1592921811,80,90,63,9,98,99,36
1592921812,95,99,99,9,103,96,42
1592921814,95,99,100,9,102,98,42
1592921815,101,101,103,9,106,99,62
1592921817,97,96,97,9,106,98,51
1592921818,95,91,93,10,110,102,58
1592921820,95,91,94,10,107,99,55
1592921821,94,90,92,9,108,1,59
1592921823,91,88,90,9,109,8,63
1592921824,97,93,96,9,107,3,62
1592921826,96,92,95,9,108,2,66
1592921827,97,92,96,10,106,2,66
1592921829,97,93,95,10,106,1,65
1592921830,98,94,97,9,105,1,49
1592921832,100,98,102,9,103,90,61
1592921833,75,85,71,9,99,1,44
1592921835,62,49,49,9,98,90,41
1592921836,55,44,54,9,97,90,43
1592921838,53,48,54,9,97,90,38
1592921839,40,40,42,10,1,90,31
1592921841,48,44,45,9,91,90,35
1592921842,49,46,47,10,93,90,35
1592921844,49,46,47,9,93,90,35
1592921845,48,46,47,9,93,90,35
1592921847,50,46,46,9,93,90,35
1592921848,50,46,46,9,93,90,35
1592921850,50,45,45,10,93,90,35
1592921851,50,46,46,9,93,90,35
1592921853,50,45,46,9,93,90,35
1592921854,45,44,47,9,92,90,34
1592921856,59,59,58,9,94,91,51
1592921857,95,91,94,9,108,90,69
1592921859,96,91,94,9,109,91,58
1592921860,96,91,94,9,108,91,63
1592921862,93,89,91,9,110,92,63
1592921863,94,89,91,9,109,92,66
1592921865,98,98,102,9,104,90,47
1592921866,96,100,103,9,101,91,46
1592921868,104,99,101,9,102,92,47
1592921869,104,98,100,9,102,93,47
1592921871,103,97,99,10,104,98,52
1592921872,123,120,122,10,106,23,53
1592921874,123,123,126,9,113,10,73
1592921875,95,93,95,9,112,100,59
1592921877,95,91,94,9,106,5,65
1592921878,96,91,94,9,107,90,64
1592921880,98,93,97,9,107,90,50
1592921881,99,95,98,9,106,90,52
1592921883,97,93,95,9,107,90,54
1592921884,96,92,95,10,108,90,57
1592921886,97,92,95,9,108,90,56
1592921887,97,92,95,9,108,90,58
1592921889,96,91,94,9,108,90,57
1592921890,100,97,100,10,106,93,52
1592921892,101,97,100,9,105,92,48
1592921893,101,96,100,9,105,92,49
1592921895,101,96,98,9,105,90,50
1592921896,101,95,98,10,105,90,51
1592921898,100,95,98,10,105,91,51
1592921899,100,95,98,9,105,91,52
1592921901,100,95,98,9,106,91,52
1592921902,100,95,98,9,106,91,52
1592921904,100,95,98,9,106,90,52
1592921905,99,95,98,10,106,91,52
1592921907,100,95,98,9,106,91,51
1592921908,100,95,99,9,105,91,51
1592921910,101,96,99,9,105,92,50
1592921911,101,96,99,10,104,91,49
1592921913,100,99,101,10,104,90,49
1592921914,98,96,98,9,107,90,57
1592921916,99,94,97,9,107,90,51
1592921917,99,94,96,10,106,90,50
1592921919,100,96,99,9,105,91,49
1592921920,99,97,99,9,105,90,49
1592921922,94,101,104,10,101,1,55
1592921923,100,99,106,9,103,90,50
1592921925,83,92,85,9,99,1,34
1592921926,89,95,90,9,102,90,54
1592921928,101,96,98,10,104,90,49
1592921929,99,98,101,9,104,90,46
1592921931,68,75,67,10,91,91,32
1592921932,46,46,42,9,7,91,27
1592921934,54,58,49,9,90,92,34
1592921935,103,98,102,9,105,90,51
1592921937,102,98,101,9,106,92,56
1592921938,102,99,103,10,105,92,56
1592921940,103,100,103,9,105,92,58
1592921941,103,100,103,9,105,92,57
1592921943,102,99,102,9,106,91,50
1592921944,101,98,53,10,106,91,52
1592921946,97,93,95,9,109,90,58
1592921947,94,90,93,9,109,3,58
1592921949,91,90,90,10,113,8,64
1592921950,103,96,97,9,103,90,54
1592921952,121,120,122,10,106,91,55
1592921953,100,98,101,10,105,90,48
1592921955,101,100,102,9,105,90,47
1592921956,90,93,92,10,100,1,44
1592921958,94,98,99,9,103,90,53
1592921959,100,101,102,10,104,90,55
1592921961,101,101,102,9,104,90,53
1592921962,102,100,103,9,105,91,54
1592921964,102,99,102,10,105,91,52
1592921965,102,100,102,9,105,91,52
1592921967,101,100,103,9,104,91,55
1592921968,94,92,93,9,109,94,47
1592921970,61,58,59,9,106,90,41
1592921971,66,62,64,10,103,92,46
1592921973,66,62,65,9,103,94,47
1592921974,66,62,64,9,104,93,42
1592921976,66,62,63,10,104,92,41
1592921977,65,62,63,10,104,92,41
