Walking around House
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592921647,139,64,30,10,109,92,135
1592921649,255,255,2,9,108,91,255
1592921650,255,255,2,10,104,93,30
1592921652,255,255,2,10,109,91,10
1592921653,222,249,2,10,100,90,11
1592921655,214,233,3,10,100,2,14
1592921656,255,255,2,10,104,94,70
1592921658,252,255,3,10,98,92,118
1592921659,219,214,2,9,97,94,27
1592921661,255,255,2,9,110,4,8
1592921662,255,255,2,9,109,91,6
1592921664,255,255,3,10,106,2,10
1592921665,180,155,3,9,108,94,6
1592921667,244,244,2,9,111,93,11
1592921668,147,143,3,10,103,90,20
1592921670,159,140,3,9,113,90,20
1592921671,97,73,2,9,111,90,23
1592921673,197,176,1,10,117,8,12
1592921674,132,132,1,10,116,6,6
1592921676,190,187,1,9,113,3,7
1592921677,197,201,1,9,102,90,38
1592921679,255,255,2,9,93,90,173
1592921680,218,221,1,10,1,1,153
1592921682,211,202,2,10,100,94,117
1592921683,144,149,2,9,102,6,25
1592921685,198,170,1,10,103,1,5
1592921686,255,255,1,9,103,93,4
1592921688,255,255,2,11,103,92,5
1592921689,236,236,1,9,94,94,8
1592921691,155,153,1,9,94,96,17
1592921692,148,148,1,9,103,92,24
1592921694,255,255,2,9,107,94,6
1592921695,236,239,2,9,110,92,3
1592921697,255,255,2,10,107,93,3
1592921698,170,166,2,9,112,91,4
1592921700,242,253,1,9,108,3,27
1592921701,255,255,1,10,105,91,104
1592921703,255,255,2,10,104,94,146
1592921704,209,217,2,9,96,96,22
1592921706,255,255,2,9,96,94,5
1592921707,203,194,2,10,101,92,6
1592921709,255,255,2,10,105,94,13
1592921710,255,255,2,9,105,97,52
1592921712,191,203,2,10,98,96,284
1592921713,183,178,2,10,92,93,35
1592921715,255,255,2,9,95,94,152
1592921716,235,240,2,10,110,96,131
1592921718,255,255,1,12,101,92,13
1592921719,216,225,2,11,101,91,6
1592921721,221,205,2,10,99,92,14
1592921722,193,217,2,10,92,93,72
1592921724,255,255,2,9,94,96,294
1592921725,147,149,2,10,100,94,48
1592921727,91,90,2,9,93,97,24
1592921728,19,12,1,9,90,96,21
