Watching TV in a "paint me like one of your French ladies" pose
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592923701,178,180,185,10,93,95,101
1592923702,255,255,255,9,98,90,94
1592923704,255,255,255,10,92,90,101
1592923705,255,255,255,9,92,12,81
1592923707,255,255,255,9,91,6,86
1592923708,255,255,255,9,92,3,83
1592923710,255,255,255,9,92,3,85
1592923711,255,255,255,9,91,1,85
1592923713,255,255,255,9,91,2,84
1592923714,255,255,255,9,2,2,107
1592923716,236,255,255,10,5,2,88
1592923717,255,255,255,10,93,5,91
1592923719,255,255,255,9,90,7,85
1592923720,255,255,255,10,91,6,85
1592923722,255,255,255,10,91,5,84
1592923723,255,255,255,9,91,5,85
1592923725,255,255,255,9,91,5,83
1592923726,255,255,255,9,91,5,84
1592923728,255,255,255,10,90,5,83
1592923729,255,255,255,9,92,4,83
1592923731,255,255,255,9,92,1,79
1592923732,255,255,255,9,92,1,80
1592923734,255,255,255,9,91,4,94
1592923735,255,255,242,9,95,10,82
1592923737,255,255,255,9,1,14,105
1592923738,255,255,255,9,91,15,80
1592923740,255,255,255,10,94,13,81
1592923741,255,255,255,10,93,12,80
1592923743,255,255,255,10,93,13,80
1592923744,255,255,255,10,94,13,79
1592923746,255,255,255,10,94,12,80
1592923747,255,255,255,9,94,13,79
1592923749,255,255,255,10,94,12,80
1592923750,255,255,255,10,94,12,78
1592923752,255,255,255,10,94,12,79
1592923753,255,255,255,9,94,12,78
1592923755,255,255,255,10,94,12,79
1592923756,255,255,255,10,94,12,78
1592923758,255,255,255,10,94,12,79
1592923759,255,255,255,10,94,12,78
1592923761,255,255,255,10,94,12,77
1592923762,255,255,255,9,94,10,79
1592923764,255,255,255,10,94,11,100
1592923765,255,255,255,9,92,4,131
1592923767,255,255,255,10,95,97,103
1592923768,255,255,255,9,96,103,102
1592923770,255,255,255,10,91,101,123
1592923771,255,255,255,9,90,94,142
1592923773,255,255,255,9,2,3,144
1592923774,255,255,255,9,9,1,151
1592923776,255,255,255,9,1,4,149
1592923777,255,255,255,10,2,2,166
1592923779,255,255,255,10,93,92,142
1592923780,216,220,204,10,90,97,145
1592923782,255,255,255,9,92,95,138
1592923783,255,255,255,9,93,93,139
1592923785,255,255,255,10,4,1,13
1592923786,255,255,255,9,5,90,8
1592923788,181,183,179,9,10,96,5
1592923789,232,236,236,10,16,93,11
1592923791,255,255,255,9,9,90,14
1592923792,218,224,213,9,18,93,12
1592923794,54,30,32,9,20,96,12
1592923795,45,42,37,9,21,98,11
1592923797,45,29,28,9,20,101,11
1592923798,50,43,30,9,20,102,11
1592923800,51,47,29,9,20,103,11
1592923801,49,37,32,9,20,104,9
1592923803,46,33,32,9,20,105,9
1592923804,46,33,32,9,20,105,10
1592923806,47,32,32,9,20,105,10
1592923807,54,37,29,9,21,106,9
1592923809,56,36,28,9,21,106,9
1592923810,54,33,28,9,21,106,9
1592923812,54,33,28,9,21,106,9
1592923804,54,33,29,9,21,106,10
1592923805,62,64,73,10,16,104,9
1592923807,255,255,255,10,91,94,8
1592923808,255,255,255,10,90,93,11
1592923810,255,255,255,9,90,90,11
1592923811,255,255,255,9,1,92,11
1592923813,181,219,211,10,9,93,16
1592923814,62,82,109,10,14,90,14
1592923816,92,92,60,10,10,101,9
1592923817,130,194,90,9,8,101,9
1592923819,220,255,251,9,4,99,8
1592923820,227,255,178,10,4,98,10
1592923822,255,255,255,9,90,8,12
1592923823,255,255,255,10,93,90,9
1592923825,255,255,255,9,93,93,9
1592923826,255,255,255,9,93,93,9
1592923828,255,255,255,10,92,93,9
1592923829,255,255,255,10,3,90,12
1592923831,169,217,192,10,23,17,9
1592923832,65,79,61,10,21,25,31
1592923834,36,46,33,10,20,22,31
1592923835,185,255,245,9,11,16,27
1592923837,255,255,176,9,7,12,24
1592923838,255,255,255,10,1,11,21
1592923840,255,255,255,9,90,10,21
1592923841,255,255,255,9,1,11,21
1592923843,255,255,255,10,1,11,22
1592923844,255,255,255,10,1,10,21
1592923846,255,255,255,9,1,10,21
1592923847,255,255,255,9,2,10,21
1592923849,255,255,255,10,2,11,22
1592923850,255,255,255,9,1,10,21
1592923852,255,255,255,10,2,10,21
1592923853,255,255,255,10,2,10,21
1592923855,255,255,255,9,2,10,21
1592923856,255,255,255,9,90,6,17
1592923858,255,255,255,10,1,6,17
1592923859,255,255,255,9,90,6,17
1592923861,255,255,255,9,1,6,17
1592923862,255,255,255,9,1,6,18
1592923864,255,255,255,9,90,6,17
1592923865,255,255,255,9,1,6,17
1592923867,255,255,255,9,90,6,17
1592923868,255,255,255,9,1,6,17
1592923870,255,255,255,9,1,5,17
1592923871,255,255,255,9,1,6,17
1592923873,255,255,255,10,1,6,17
1592923874,255,255,255,9,1,6,17
1592923876,255,255,255,9,90,7,18
1592923877,255,255,255,9,90,6,18
